Slang;Formal
ga;tidak
ngaruh;berpengaruh
man;kawan
pake;pakai
emg;memang
kaco;kacau
baharu;baru
amp;dan
gajian;menerima gaji
jual;menjual
beli;membeli
snk;syarat dan ketentuan
fast;cepat
no;tidak
fee;biaya
capex;pengeluaran modal
nvda;nvidia
mampa;mampu
buybackdividen;pembelian kembali dan dividen
assetlight;aset ringan
nflx;netflix
omset;pendapatan
x;kali
iyah;iya
tp;tapi
ku;aku
to;try out
inten;intensif
pengen;ingin
hiks;sedih
karna;karena
valuenilai;nilai
blogh;blog
emosii;emosi
nggacawecawe;tidak ikut campur
donk;dong
nnt;nanti
gx;tidak
gua;saya
sm;sama
dpt;dapat
lu;kamu
dollar;dolar
bgt;banget
gw;ada
ekonomiberkelanjutan;adalah
duit;adanya
rp;adapun
dr;agak
jutabayar;agaknya
kek;agar
bikin;akan
amp;akankah
plus;akhir
dah;akhiri
kalo;akhirnya
jt;aku
rb;akulah
lg;amat
udh;amatlah
idr;anda
lu;andalah
no;antar
ekonomiterjaga;antara
rupiahgram;antaranya
kl;apa
ntar;apaan
be like;apabila
aja;apakah
dah;apalagi
anjir;apatah
begimana;artinya
online;asal
offline;asalkan
gpp;atas
the;atau
struggle;ataukah
is;ataupun
real;awal
okeh;awalnya
mak;bagai
tp;bagaikan
xpa;bagaimana
yg;bagaimanakah
faham;bagaimanapun
gue;bagi
korona;bagian
labtop;bahkan
sohib;bahwa
gak;bahwasanya
tak;baik
gru;bakal
klo;bakalan
ksi;balik
g;banyak
dgn;bapak
trs;baru
lgi;bawah
ny;beberapa
lgi;begini
jdi;beginian
dobell;beginikah
scroll;beginilah
lo;begitu
nggak;begitukah
byk;begitulah
maksuf;begitupun
responsive;bekerja
good luck;belakang
nih;belakangan
ad;belum
karna;belumlah
tsb;benar
njing;benarkah
deadline;benarlah
group;berada
parents;berakhir
ayolohhh;berakhirlah
mamah;berakhirnya
twt;berapa
akhibat;berapakah
tu;berapalah
org;berapapun
